資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市立動物園_服務設施,觀光,本資料集提供臺北市立動物園園區之服務設施，包含諮詢售票、醫護急救、交通服務、設施服務和餐飲服務等五大類服務設施簡介及位置座標，提供各種貼心的遊園服務。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍),S_Category、S_Item、S_Title、S_Summary、S_Memo、S_Brief、S_Meal、S_Shop、S_Keywords、S_Location、S_Longitude、S_Latitude、S_Web_URL、S_Pic01_ALT、S_Pic01_URL、S_Pic02_ALT、S_Pic02_URL、S_Pic03_ALT、S_Pic03_URL、S_Pic04_ALT、S_Pic04_URL、S_Pic05_ALT、S_Pic05_URL、S_Page
臺北市政府兵役局補助民間團體經費報告,統計,補助民間團體經費報告,年、受補助民間團體名稱、實施日期、活動名稱、活動內容摘要、列之科目名稱、補助金額核定額、補助金額已撥付額、補助金額實支數、審核及處理結果
臺北市狗便清潔袋箱,環保,"提供民眾本市狗便清潔袋箱箱位置查詢
狗便隨手清、北市好乾淨",行政區、路名、位置、經度、緯度、備註
臺北市稅捐稽徵處未徵數情形,財稅,分析本年度及以前年度各稅未徵數情形,年度及稅目別、總計件數、總計金額、繳款書未送達未徵數件數、繳款書未送達未徵數金額、未逾限繳日未徵數件數、未逾限繳日未徵數金額、行政救濟未徵數件數、行政救濟未徵數金額、分期繳納未徵數件數、分期繳納未徵數金額、特殊原因未徵數件數、特殊原因未徵數金額、送達未逾滯納期欠稅數件數、送達未逾滯納期欠稅數金額、待移送執行欠稅數件數、待移送執行欠稅數金額、移送執行未結欠稅數件數、移送執行未結欠稅數金額、取得執行憑證欠稅數合計件數、取得執行憑證欠稅數合計金額、取得執行憑證欠稅數未逾徵收期間件數、取得執行憑證欠稅數未逾徵收期間金額、取得執行憑證欠稅數已逾徵收期間惟未逾執行期間件數、取得執行憑證欠稅數已逾徵收期間惟未逾執行期間金額、移送執行結銷案欠稅數件數、移送執行結銷案欠稅數金額、無法執行欠稅數件數、無法執行欠稅數金額
臺北市未變性酒精販賣業者登記資料一覽表,財稅,臺北市未變性酒精販賣業者登記資料,編號、業者公司名稱、營利事業暨扣繳單位統一編號、負責人姓名、公司地址、核准文號
臺北市替代役申請人數統計表,統計,臺北市替代役申請人數統計,年、一般資格人數、家庭因素人數、宗教因素人數、專長資格人數、志工資格人數、研發或產業訓儲人數
臺北市食藥粧網路地圖(IMAP),醫療,食藥粧網路地圖稽查結果。,編號、資料集名稱、相關資料、檔案格式、更新日期
臺北市12區健康服務中心公衛護理師(士)人數,醫療,臺北市12區健康服務中心公衛護理師(士)人數。,項次、12區健康服務中心、公衛護理師（士）人數、地址、郵遞區號
臺北市各區健康服務中心人員統計表,統計,臺北市各區健康服務中心年底人員數。,行政區健康服務中心、主任編制員額專任、主任實際員額其他行政人員員額、秘書及組長編制員額數、秘書及組長實際員額數、護理長編制員額（兼任）、護理長實際員額（兼任）、護理師編制員額數、護理師實際員額數、護士實際員額、辦事員（組員及書記）編制員額數、辦事員（組員及書記）實際員額數、技士及技佐編制員額、技士及技佐實際員額、工友編制員額、工友實際員額、其他（雇員替代役委外約聘僱及臨時人員）編制員額、其他（雇員替代役委外約聘僱及臨時人員）非編制員額、其他（雇員替代役委外約聘僱及臨時人員）實際員額
臺北市政府衛生局在職人員專業證照統計表,統計,臺北市政府衛生局年底在職人員專業證照人數。,性別、總計數、一般行政及技術人員數、醫事人員合計數、西醫師、藥師、醫事檢驗師、護理師數、護士、營養師數、物理治療師、職能治療師、臨床心理師、諮商心理師
臺北市政府勞動局暨所屬機關聯絡資訊,勞動,提供臺北市政府勞動局、臺北市勞動檢查處、臺北市就業服務處（含各就業服務站）、臺北市勞動力重建運用處及臺北市職能發展學院聯絡資訊,名稱、地區、地址、電話、網址
臺北市公有耕地三七五租約統計表,地政,114年度臺北市公有耕地三七五租約統計表,年度、佃農戶數、土地筆數、租約件數、訂約面積
臺北市違反身心障礙者權益保障法第38條規定未足額進用名單,勞動,依據身心障礙者權益保障法第103條規定：「各級政府勞工主管機關對於違反第38條第1項或第2項之規定者，得公告之。」,年度、月、投保單位名稱、身障總人數、法定人數、不足人數、不足進用之比率
臺北市政府消防局核准燃氣熱水器承裝業及其技術士名冊,消防,臺北市政府消防局核准燃氣熱水器承裝業名稱、地址、負責人及其技術士姓名、證號、證號生效日期,承裝業名稱、營業場所地址、營業場所電話、負責人姓名、技術士姓名、技術士證號、技術士證生效日期、任職日期、最近一次受訓日期
臺北市燃氣熱水器承裝業營業登記收費標準,消防,臺北市燃氣熱水器承裝業營業登記收費標準規定、營業登記費、變更登記費、登記證書換發、補發費,"縣市別代碼、機關代碼、項次、收費項目、收費金額
"
臺北市燃氣熱水器遷移或更換補助申請資訊,消防,臺北市遷移或更換燃氣熱水器補助申請表單、一般戶及低收戶申請表單,補助期程、行政區、聯絡電話、分機、補助金額
臺北市身障就業資源地圖,勞動,"身障就業資源地圖(職業重建暨就業服務、職業輔導評量服務、職務再設計、就業服務機構、庇護工場)
依身心障礙者權益保障法第三十四條第一項規定，各級勞工主管機關對於具有就業意願及就業能力，而不足以獨立在競爭性就業市場工作之身心障礙者，應依其工作能力，提供個別化就業安置、訓練及其他工作協助等支持性就業服務。
而影響身障者就業穩定的重要因素之一即是交通，讓身障者可以就近在居住一定範圍內，或在交通便利上可以方便找到服務單位，一直是本處提供便利服務的重要指標。
因此建立身障就業資源地圖，讓有需要服務的身障者可以就近尋求服務，就是重要的工作原則之一。在網站上將各種不同服務方案，標列在地圖上，而且把各服務據點的地址、電話一一列出，可以讓身障者可依自行方便的區域尋求服務，既符合法令規定，在實務上也可更貼近便民的服務理念。 
",SEQNO、Year、name、type、business item、contact、address、telephone
臺北市政府許可仲介本國人在國內工作之私立就業服務機構暨分支機構停業情形,勞動,依私立就業服務機構許可及管理辦法第39條規定公告。,編號、許可證字號、機構名稱、暫停營業日期、復業日期、終止營業日期、註銷或廢止日期、停業處分（起）日、停業處分（止）日、廢止日期
臺北市政府許可仲介本國人在國內工作之私立就業服務機構暨分支機構名冊,勞動,依私立就業服務機構許可及管理辦法第39條規定公告,編號、許可證字號、機構名稱、機構地址、機構電話、負責人姓名、許可證有效期限、資本額、專業人員姓名及證照字號
臺北美術獎近期徵件資料,文化,「2025臺北美術獎」徵件作品數量資料,年度、總計/入選、入選率、CountyCode、機關代碼
臺北市立美術館申請展近期統計資料,文化,臺北市立美術館115年申請展作品類統計資料,民國年、平面、立體、影音複合媒體、總計/入選、入選率、機關代碼
臺北市辦理身心障礙者促進就業業務概況表,勞動,本市各項身心障礙者就業促進相關業務辦理情形統計資料,項次ID、項目別、總經費合計、公務預算、身心障礙者就業基金、勞動部就業安定基金、獎勵人數、獎勵家數、服務人數、委託單位數、專業人員人數、視障按摩師總人數、補助視障按摩據點家數
臺北市政府法令諮詢案件統計表,法律,統計臺北市政府法務局每年度提供法令諮詢意見數量,年度、提供法令疑義諮詢意見總計數量、提供法令疑義諮詢意見法令疑義解釋數量、提供法令疑義諮詢意見契約疑義協處數量、處理一般法令案件總計數量、處理一般法令案件市法規發布數量、處理一般法令案件中央法令轉頒數量、處理一般法令案件市法規審議案數量、參與各項法令適用研商會議/總計數量、參與各項法令適用研商會議/法規委員會議數量、參與各項法令適用研商會議/國家賠償事件處理委員會議數量、參與各項法令適用研商會議/出席各單位法令研商會議數量
臺北市土地筆數面積及公告土地現值統計,地政,本市自101年迄今各行政區已辦竣所有權登記之土地筆數、面積及公告土地現值總額統計,行政區、筆數總計、面積總計_公頃、公告土地現值總額總計_千元、都市土地公有筆數、都市土地公有面積_公頃、都市土地公有公告土地現值總額_千元、都市土地私有筆數、都市土地私有面積_公頃、都市土地私有公告土地現值總額_千元、都市土地公私共有筆數、都市土地公私共有面積_公頃、都市土地公私共有公告土地現值總額_千元
臺北捷運車站無障礙設施異常公告,交通,捷運車站無障礙設施異常公告,六張犁站、電梯、檢修、完成
臺北市立動物園_動物資料,教育,本資料集提供臺北市立動物園園區之動物導覽整合資訊，藉由文字、圖片、影音等解說媒，融合保育及教育的觀點解說動物的生態習性，帶領社會大眾一同探索野生動物的奧秘。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍),中文名、摘要說明、關鍵字、別名、經度、緯度、館區、POI群組、英文名、學名、分類學_門、分類學_綱、分類學_目、分類學_科、保育等級、地理分布、棲地型態、形態特徵、生態習性、食性、面臨問題、解說、主題網頁、主題網頁URL、動物認養焦點物種、編號代號、照片說明及URL(4組)、PDF說明及URL(2組)、聲音說明及URL(3組)、影片URL、資料更新日期、序號
