year,months,organ,kind,number,numofpeople
106,7,新北市板橋分局,拆除攤架,0,0
106,7,新北市海山分局,拆除攤架,0,0
106,7,新北市中和分局,拆除攤架,0,0
106,7,新北市永和分局,拆除攤架,0,0
106,7,新北市三重分局,拆除攤架,0,0
106,7,新北市新莊分局,拆除攤架,1,1
106,7,新北市土城分局,拆除攤架,0,0
106,7,新北市新店分局,拆除攤架,0,0
106,7,新北市蘆洲分局,拆除攤架,0,0
106,7,新北市三峽分局,拆除攤架,0,0
106,7,新北市樹林分局,拆除攤架,0,0
106,7,新北市汐止分局,拆除攤架,0,0
106,7,新北市淡水分局,拆除攤架,0,0
106,7,新北市瑞芳分局,拆除攤架,0,0
106,7,新北市金山分局,拆除攤架,0,0
106,7,新北市政府警察局,勸導,1559,1559
106,7,新北市板橋分局,勸導,286,286
106,7,新北市海山分局,勸導,19,19
106,7,新北市中和分局,勸導,276,276
106,7,新北市永和分局,勸導,200,200
106,7,新北市三重分局,勸導,45,45
106,7,新北市新莊分局,勸導,142,142
106,7,新北市土城分局,勸導,52,52
106,7,新北市新店分局,勸導,172,172
106,7,新北市蘆洲分局,勸導,63,63
106,7,新北市三峽分局,勸導,102,102
106,7,新北市樹林分局,勸導,163,163
106,7,新北市汐止分局,勸導,4,4
106,7,新北市淡水分局,勸導,8,8
106,7,新北市瑞芳分局,勸導,23,23
106,7,新北市金山分局,勸導,4,4
106,8,新北市政府警察局,總計,3608,3608
106,8,新北市板橋分局,總計,586,586
106,8,新北市海山分局,總計,102,102
106,8,新北市中和分局,總計,360,360
106,8,新北市永和分局,總計,453,453
106,8,新北市三重分局,總計,469,469
106,8,新北市新莊分局,總計,273,273
106,8,新北市土城分局,總計,163,163
106,8,新北市新店分局,總計,387,387
106,8,新北市蘆洲分局,總計,209,209
106,8,新北市三峽分局,總計,174,174
106,8,新北市樹林分局,總計,208,208
106,8,新北市汐止分局,總計,92,92
106,8,新北市淡水分局,總計,92,92
106,8,新北市瑞芳分局,總計,33,33
106,8,新北市金山分局,總計,7,7
106,8,新北市政府警察局,罰鍰,1898,1898
106,8,新北市板橋分局,罰鍰,296,296
106,8,新北市海山分局,罰鍰,85,85
106,8,新北市中和分局,罰鍰,100,100
106,8,新北市永和分局,罰鍰,232,232
106,8,新北市三重分局,罰鍰,322,322
106,8,新北市新莊分局,罰鍰,134,134
106,8,新北市土城分局,罰鍰,99,99
106,8,新北市新店分局,罰鍰,180,180
106,8,新北市蘆洲分局,罰鍰,161,161
106,8,新北市三峽分局,罰鍰,72,72
106,8,新北市樹林分局,罰鍰,37,37
106,8,新北市汐止分局,罰鍰,86,86
106,8,新北市淡水分局,罰鍰,83,83
106,8,新北市瑞芳分局,罰鍰,8,8
106,8,新北市金山分局,罰鍰,3,3
106,8,新北市政府警察局,没入攤架,0,0
106,8,新北市板橋分局,没入攤架,0,0
106,8,新北市海山分局,没入攤架,0,0
106,8,新北市中和分局,没入攤架,0,0
106,8,新北市永和分局,没入攤架,0,0
106,8,新北市三重分局,没入攤架,0,0
106,8,新北市新莊分局,没入攤架,0,0
106,8,新北市土城分局,没入攤架,0,0
106,8,新北市新店分局,没入攤架,0,0
106,8,新北市蘆洲分局,没入攤架,0,0
106,8,新北市三峽分局,没入攤架,0,0
106,8,新北市樹林分局,没入攤架,0,0
106,8,新北市汐止分局,没入攤架,0,0
106,8,新北市淡水分局,没入攤架,0,0
106,8,新北市瑞芳分局,没入攤架,0,0
106,8,新北市金山分局,没入攤架,0,0
106,8,新北市政府警察局,拆除攤架,0,0
106,8,新北市板橋分局,拆除攤架,0,0
106,8,新北市海山分局,拆除攤架,0,0
106,8,新北市中和分局,拆除攤架,0,0
106,8,新北市永和分局,拆除攤架,0,0
106,8,新北市三重分局,拆除攤架,0,0
106,8,新北市新莊分局,拆除攤架,0,0
106,8,新北市土城分局,拆除攤架,0,0
106,8,新北市新店分局,拆除攤架,0,0
106,8,新北市蘆洲分局,拆除攤架,0,0
106,8,新北市三峽分局,拆除攤架,0,0
106,8,新北市樹林分局,拆除攤架,0,0
106,8,新北市汐止分局,拆除攤架,0,0
106,8,新北市淡水分局,拆除攤架,0,0
106,8,新北市瑞芳分局,拆除攤架,0,0
106,8,新北市金山分局,拆除攤架,0,0
106,8,新北市政府警察局,勸導,1710,1710
106,8,新北市板橋分局,勸導,290,290
106,8,新北市海山分局,勸導,17,17
106,8,新北市中和分局,勸導,260,260
